Offering_ID,Course_ID,Semester,Student_ID,Instructor_ID,Schedule,Created_date,Updated_date,"created by","updated by"
1,6,"Summer 2025",1,7,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
2,20,"Spring 2025",1,4,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
3,15,"Spring 2025",1,11,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
4,5,"Fall 2024",2,8,"Fri 10AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
5,11,"Spring 2025",2,5,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
6,7,"Summer 2025",3,7,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
7,1,"Spring 2025",3,10,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
8,23,"Spring 2025",4,3,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
9,21,"Fall 2024",4,7,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
10,16,"Fall 2024",4,11,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
11,16,"Fall 2024",5,11,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
12,27,"Fall 2024",5,8,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
13,26,"Summer 2025",6,5,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
14,24,"Summer 2025",7,4,"Fri 10AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
15,12,"Summer 2025",8,8,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
16,2,"Fall 2024",8,8,"Fri 10AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
17,15,"Fall 2024",8,3,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
18,2,"Summer 2025",9,6,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
19,9,"Summer 2025",10,5,"Fri 10AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
20,8,"Fall 2024",11,2,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
21,25,"Spring 2025",11,8,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
22,24,"Spring 2025",11,12,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
23,3,"Spring 2025",11,6,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
24,17,"Summer 2025",12,2,"Fri 10AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
25,6,"Summer 2025",12,12,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
26,19,"Summer 2025",12,5,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
27,11,"Summer 2025",12,1,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
28,23,"Spring 2025",13,12,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
29,19,"Summer 2025",13,10,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
30,5,"Spring 2025",13,6,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
31,17,"Fall 2024",13,12,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
32,19,"Summer 2025",14,9,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
33,4,"Fall 2024",14,1,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
34,22,"Fall 2024",14,11,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
35,17,"Summer 2025",14,11,"Fri 10AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
36,13,"Fall 2024",15,10,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
37,15,"Spring 2025",15,12,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
38,9,"Spring 2025",15,12,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
39,25,"Fall 2024",16,3,"Fri 10AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
40,11,"Spring 2025",16,12,"Fri 10AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
41,18,"Summer 2025",16,7,"Fri 10AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
42,12,"Summer 2025",17,4,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
43,6,"Summer 2025",17,9,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
44,26,"Summer 2025",17,3,"Fri 10AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
45,13,"Summer 2025",17,5,"Fri 10AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
46,13,"Summer 2025",18,3,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
47,23,"Summer 2025",18,7,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
48,8,"Summer 2025",19,5,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
49,13,"Fall 2024",19,9,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
50,18,"Spring 2025",20,7,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
51,20,"Spring 2025",20,2,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
52,6,"Spring 2025",20,4,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
53,26,"Summer 2025",21,9,"Fri 10AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
54,10,"Summer 2025",21,12,"Fri 10AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
55,27,"Fall 2024",21,2,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
56,9,"Spring 2025",22,10,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
57,19,"Spring 2025",22,9,"Fri 10AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
58,21,"Spring 2025",22,10,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
59,10,"Summer 2025",22,5,"Fri 10AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
60,27,"Spring 2025",23,2,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
61,9,"Summer 2025",24,4,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
62,4,"Summer 2025",24,12,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
63,15,"Spring 2025",24,12,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
64,24,"Summer 2025",24,7,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
65,22,"Fall 2024",25,12,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
66,10,"Fall 2024",25,8,"Fri 10AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
67,7,"Summer 2025",25,3,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
68,3,"Fall 2024",25,1,"Fri 10AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
69,7,"Spring 2025",26,4,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
70,15,"Spring 2025",26,2,"Fri 10AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
71,25,"Spring 2025",26,8,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
72,17,"Spring 2025",27,4,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
73,3,"Fall 2024",27,2,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
74,20,"Fall 2024",28,6,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
75,2,"Fall 2024",28,6,"Fri 10AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
76,26,"Spring 2025",29,10,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
77,27,"Fall 2024",29,4,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
78,3,"Fall 2024",29,6,"Fri 10AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
79,1,"Summer 2025",30,2,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
80,23,"Spring 2025",30,10,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
81,15,"Spring 2025",31,12,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
82,24,"Fall 2024",31,2,"Fri 10AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
83,14,"Spring 2025",31,10,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
84,28,"Summer 2025",31,4,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
85,6,"Spring 2025",32,8,"Fri 10AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
86,26,"Fall 2024",33,7,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
87,6,"Summer 2025",33,12,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
88,4,"Spring 2025",33,9,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
89,1,"Summer 2025",34,8,"Fri 10AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
90,25,"Fall 2024",34,5,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
91,1,"Fall 2024",35,2,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
92,10,"Fall 2024",35,5,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
93,3,"Summer 2025",35,8,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
94,28,"Fall 2024",35,10,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
95,17,"Spring 2025",36,9,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
96,10,"Fall 2024",36,12,"Fri 10AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
97,7,"Spring 2025",36,12,"Fri 10AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
98,21,"Fall 2024",37,12,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
99,1,"Summer 2025",38,9,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
100,13,"Spring 2025",38,1,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
101,7,"Fall 2024",38,9,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
102,9,"Spring 2025",38,7,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
103,4,"Spring 2025",39,9,"Fri 10AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
104,12,"Summer 2025",40,8,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
105,10,"Fall 2024",41,1,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
106,6,"Fall 2024",42,12,"Fri 10AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
107,11,"Summer 2025",43,8,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
108,21,"Spring 2025",43,8,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
109,27,"Summer 2025",43,11,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
110,3,"Spring 2025",44,3,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
111,2,"Fall 2024",45,1,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
112,15,"Summer 2025",45,8,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
113,5,"Summer 2025",45,3,"Fri 10AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
114,16,"Fall 2024",45,3,"Fri 10AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
115,9,"Spring 2025",46,1,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
116,14,"Summer 2025",47,11,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
117,17,"Spring 2025",47,5,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
118,8,"Spring 2025",48,10,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
119,25,"Fall 2024",49,7,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
120,14,"Fall 2024",49,10,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
121,23,"Summer 2025",49,9,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
122,8,"Summer 2025",49,12,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
123,27,"Fall 2024",50,7,"Fri 10AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
124,8,"Summer 2025",50,9,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
125,8,"Fall 2024",51,8,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
126,15,"Fall 2024",51,12,"Fri 10AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
127,14,"Summer 2025",51,2,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
128,4,"Summer 2025",51,1,"Fri 10AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
129,3,"Fall 2024",52,7,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
130,1,"Summer 2025",53,7,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
131,22,"Summer 2025",54,8,"Fri 10AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
132,27,"Summer 2025",54,5,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
133,13,"Summer 2025",55,3,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
134,11,"Summer 2025",55,12,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
135,6,"Spring 2025",55,8,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
136,18,"Fall 2024",56,6,"Fri 10AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
137,13,"Fall 2024",56,11,"Fri 10AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
138,7,"Fall 2024",56,3,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
139,11,"Fall 2024",57,1,"Fri 10AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
140,19,"Spring 2025",58,3,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
141,8,"Fall 2024",58,5,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
142,3,"Summer 2025",58,3,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
143,16,"Spring 2025",58,1,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
144,24,"Fall 2024",59,5,"Fri 10AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
145,10,"Fall 2024",59,10,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
146,7,"Summer 2025",59,7,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
147,12,"Spring 2025",59,7,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
148,7,"Summer 2025",60,11,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
149,6,"Fall 2024",60,9,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
150,4,"Spring 2025",60,10,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
151,10,"Fall 2024",60,10,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
152,6,"Spring 2025",61,12,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
153,9,"Fall 2024",61,3,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
154,17,"Summer 2025",61,7,"Fri 10AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
155,5,"Spring 2025",61,1,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
156,28,"Summer 2025",62,4,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
157,26,"Summer 2025",62,4,"Fri 10AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
158,1,"Spring 2025",63,5,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
159,25,"Spring 2025",63,7,"Fri 10AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
160,14,"Summer 2025",63,7,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
161,20,"Spring 2025",63,11,"Fri 10AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
162,14,"Fall 2024",64,4,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
163,26,"Summer 2025",64,7,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
164,25,"Spring 2025",64,11,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
165,20,"Spring 2025",65,3,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
166,19,"Spring 2025",65,6,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
167,6,"Spring 2025",65,12,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
168,15,"Fall 2024",65,2,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
169,21,"Fall 2024",66,10,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
170,10,"Summer 2025",66,9,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
171,20,"Summer 2025",66,5,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
172,8,"Fall 2024",66,6,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
173,11,"Spring 2025",67,12,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
174,3,"Spring 2025",67,12,"Fri 10AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
175,27,"Spring 2025",67,12,"Fri 10AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
176,27,"Summer 2025",68,12,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
177,13,"Summer 2025",68,4,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
178,21,"Summer 2025",68,11,"Fri 10AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
179,20,"Summer 2025",69,10,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
180,9,"Fall 2024",70,7,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
181,8,"Summer 2025",70,12,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
182,25,"Spring 2025",70,9,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
183,5,"Summer 2025",70,7,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
184,23,"Summer 2025",71,1,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
185,22,"Spring 2025",72,1,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
186,8,"Summer 2025",73,9,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
187,7,"Summer 2025",73,11,"Fri 10AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
188,26,"Fall 2024",73,9,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
189,19,"Fall 2024",73,4,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
190,18,"Summer 2025",74,9,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
191,23,"Spring 2025",74,3,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
192,13,"Summer 2025",74,7,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
193,22,"Spring 2025",75,6,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
194,28,"Fall 2024",75,8,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
195,5,"Spring 2025",76,11,"Fri 10AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
196,20,"Summer 2025",76,9,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
197,16,"Fall 2024",76,5,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
198,27,"Spring 2025",76,1,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
199,1,"Summer 2025",77,3,"Fri 10AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
200,19,"Fall 2024",77,10,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
